18219 19610
4109 14210 -18.46
4109 15728 -47.63
4109 18521 27.78
4110 4690 -22.12
4110 5140 26.54
4110 5206 -33.73
4110 8539 44.10
4110 10624 -17.28
4110 16790 34.68
4111 570 -31.07
4111 1068 -9.15
4111 2628 22.83
4111 2878 -8.31
4111 7270 17.11
4111 7663 -35.81
4111 9544 -6.49
4111 10869 -27.00
4111 13974 19.94
4111 16855 -49.43
4112 1197 -14.89
4112 3028 -47.60
4112 3140 16.46
4112 3877 -11.57
4112 4679 -24.51
4112 6406 34.67
4112 8031 -36.60
4112 10129 5.22
4112 12887 38.26
4112 19487 -44.73
4113 1231 3.58
4113 3089 -39.44
4113 4236 9.30
4113 5107 -28.60
4113 6889 -1.69
4113 10214 -24.84
4113 12908 2.52
4113 14263 -41.82
4113 14267 39.88
4113 14298 -44.70
4113 14311 49.28
4113 15284 46.79
4113 18124 43.32
4114 1159 -39.54
4114 3427 -46.35
4114 3963 47.46
4114 7628 -31.34
4114 7820 25.36
4114 11924 -0.76
4114 12342 -36.48
4114 12437 15.07
4114 15100 10.47
4114 17143 -43.78
4114 17654 26.90
4114 18135 14.32
4114 19051 -14.33
4115 517 37.80
4115 1017 -17.06
4115 1165 2.27
4115 6609 -30.49
4115 6833 -6.14
4115 7448 -21.13
4115 16309 35.22
4116 2725 -24.93
4116 10654 -7.86
4116 11240 15.12
4116 12387 29.17
4116 13480 -35.77
4116 18200 29.19
4116 19571 9.54
4117 16272 -30.90
4118 119 44.16
4118 504 30.32
4118 506 -2.29
4118 651 -15.35
4118 3147 19.92
4118 3791 4.33
4118 4281 21.15
4118 11521 28.13
4118 13941 -14.44
4118 14040 -40.65
4118 14507 -41.34
4118 17291 0.25
4118 17543 -8.81
4119 332 -45.57
4119 413 -42.00
4119 2029 -47.09
4119 2848 1.65
4119 3801 -0.57
4119 5835 -12.83
4119 5889 -43.25
4119 7626 31.84
4119 8840 21.92
4119 9257 6.20
4119 11859 33.09
4119 18596 -46.20
4119 19053 48.90
4120 2523 17.72
4120 6081 17.04
4120 6943 -46.81
4120 7371 -42.31
4120 7934 24.34
4120 11676 -15.59
4120 14285 9.12
4120 15570 12.23
4121 806 -47.22
4121 1695 -13.93
4121 4780 -2.67
4121 4783 -24.64
4121 7759 -4.65
4121 9388 13.83
4121 9431 10.49
4121 11423 15.32
4121 11953 32.77
4121 17935 -7.53
4122 1959 -48.52
4122 4231 17.72
4122 4340 34.81
4122 8222 -35.21
4122 11801 -15.91
4122 12460 45.25
4122 16634 11.54
4122 19518 13.72
4123 3752 -24.24
4123 5437 18.65
4123 8716 -17.71
4123 8719 49.44
4123 9491 -15.78
4123 11785 -24.64
4123 12612 17.08
4123 14106 -24.39
4123 15303 25.87
4123 16884 -43.10
4123 16997 0.17
4124 1826 -23.49
4124 4967 -0.08
4124 5608 23.94
4124 6315 21.89
4124 13558 22.45
4124 18008 4.41
4125 2173 -24.50
4125 2877 -36.91
4125 5273 -44.14
4125 9355 42.18
4125 9446 40.86
4125 11166 29.70
4125 13251 -10.40
4125 15140 -27.92
4125 15586 -20.14
4125 15980 -36.69
4126 5388 -29.66
4126 5448 43.39
4126 6278 15.78
4126 9814 13.75
4126 10443 47.82
4126 12671 -30.99
4126 13939 11.67
4126 14293 -37.65
4126 17690 -0.10
4126 18947 -2.23
4127 2142 -42.05
4127 2564 42.05
4127 3101 17.46
4127 4233 19.49
4127 5474 21.18
4127 9630 2.43
4127 13267 -26.33
4127 13718 -16.27
4127 14553 20.29
4127 16700 -3.20
4127 16771 12.06
4128 2345 29.19
4128 5138 18.41
4128 5576 -7.28
4128 5721 -27.40
4128 6302 -30.82
4128 7016 37.70
4128 11780 44.03
4128 12661 0.61
4128 15552 7.28
4128 15977 -30.91
4128 17520 10.84
4129 793 30.39
4129 2819 48.08
4129 4373 6.03
4129 6643 19.74
4129 6877 42.55
4129 10447 3.62
4129 10960 43.44
4129 15170 -7.71
4129 19035 7.75
4130 2734 -32.81
4130 5460 36.19
4130 6451 -39.07
4130 8825 26.47
4130 10137 14.27
4130 10253 39.29
4130 12860 45.16
4130 13922 -12.12
4130 14529 -18.01
4130 15918 -43.03
4130 16399 -31.38
4130 17204 26.16
4131 5906 -34.73
4131 7216 -18.70
4131 17471 47.25
4131 17506 45.73
4132 208 47.23
4132 2784 15.05
4132 5239 -6.62
4132 6233 5.88
4132 16587 -37.17
4132 17683 27.49
4133 4933 37.22
4133 5551 41.84
4133 5720 -27.44
4133 5721 -25.73
4133 8671 21.61
4133 10041 -13.21
4133 11179 19.91
4133 13376 -17.10
4133 14462 35.14
4133 15544 1.76
4133 18056 -24.30
4134 815 -26.60
4134 1527 -27.94
4134 1950 -38.14
4134 1957 40.23
4134 2022 -18.32
4134 6544 -41.91
4134 7041 -12.82
4134 10646 -22.43
4134 11360 -47.70
4134 12207 -29.75
4134 14916 -29.31
4134 18892 45.24
4135 839 40.58
4135 850 9.96
4135 5324 45.57
4135 8801 11.34
4135 9980 -23.24
4135 10821 -33.07
4135 13856 44.07
4136 1018 -37.67
4136 1141 -39.02
4136 1482 -9.18
4136 4344 -34.54
4136 4713 25.15
4136 6450 -35.83
4136 7206 27.31
4136 8692 -32.77
4136 10747 -15.41
4136 11019 -38.74
4136 11083 5.01
4136 11096 -47.13
4136 14082 7.38
4136 14714 -28.01
4136 15311 11.78
4136 17305 25.47
4137 1470 19.44
4137 2353 42.25
4137 2945 30.96
4137 5949 22.91
4137 8191 -46.76
4137 9042 47.92
4137 10238 34.53
4137 13304 26.81
4137 14244 -31.52
4137 14962 15.13
4137 17082 -13.54
4137 19175 -9.15
4138 1317 -49.45
4138 3953 -14.00
4138 6579 -7.49
4138 6962 32.64
4138 6990 -12.96
4138 7750 36.46
4138 8129 -40.60
4138 9546 47.81
4138 10447 27.70
4138 10549 -41.69
4138 11411 -29.62
4138 15655 2.87
4138 15661 21.41
4138 16292 -45.90
4138 17822 -47.43
4138 19205 -14.46
4139 6129 32.98
4139 7130 -11.82
4139 7509 31.08
4139 10863 34.80
4139 11919 -42.81
4139 12071 41.42
4139 19571 -6.78
4140 1979 27.26
4140 3745 -22.36
4140 4105 -17.17
4140 11285 -0.64
4140 11361 -14.10
4140 12205 17.38
4140 16478 -30.43
4141 439 49.00
4141 487 39.69
4141 3628 35.95
4141 4190 -32.94
4141 7679 32.36
4141 11991 18.39
4141 13262 -43.21
4141 16282 18.82
4142 268 -27.62
4142 2867 -7.49
4142 3596 -38.62
4142 5162 -46.66
4142 8891 -4.74
4142 13850 -17.40
4142 14948 -34.16
4142 16104 -17.25
4142 19227 15.76
4143 1158 -36.88
4143 3591 39.57
4143 4821 -29.38
4143 6717 -37.33
4143 6972 16.59
4143 9777 -18.67
4143 10603 21.36
4143 10693 -45.14
4143 12634 10.39
4143 13696 19.86
4143 15949 36.03
4143 17856 -4.34
4143 18536 1.40
4143 19127 37.13
4144 28 40.95
4144 829 -5.48
4144 1013 -18.87
4144 1344 -2.94
4144 2006 -16.78
4144 3233 -29.54
4144 8088 -24.67
4144 8352 27.10
4144 9726 48.57
4144 11686 -45.72
4144 13473 23.31
4144 13630 -43.28
4145 1118 32.83
4145 1217 43.21
4145 4466 -42.16
4145 5582 -35.67
4145 9937 -6.65
4145 12143 -1.59
4145 12536 -30.79
4145 12744 3.52
4145 13419 21.74
4145 17181 45.38
4146 28 -35.13
4146 2186 20.93
4146 3956 8.02
4146 7225 -34.73
4146 12499 -29.34
4146 15476 10.96
4146 16616 16.39
4146 17069 6.12
4146 18339 19.08
4147 2481 46.35
4147 6734 8.65
4147 10587 27.87
4147 15075 -8.74
4147 19011 -17.20
4148 6963 -45.27
4148 7484 40.94
4148 9724 34.49
4148 12844 44.67
4148 14558 -38.74
4148 17463 18.13
4149 865 25.01
4149 1508 23.62
4149 7209 26.68
4149 14989 -45.87
4149 16933 9.85
4149 18883 0.31
4150 400 -8.99
4150 1339 -47.59
4150 8681 -48.83
4150 10255 16.93
4150 16416 23.43
4150 16484 -3.94
4150 18280 28.63
4151 265 15.41
4151 2198 15.38
4151 8742 -14.62
4151 10144 39.55
4151 11421 38.54
4151 13760 32.53
4151 16987 27.98
4151 18243 -45.98
4152 446 -36.69
4152 1033 -6.18
4152 1617 40.08
4152 1750 48.76
4152 2036 -25.24
4152 3866 44.40
4152 3944 36.98
4152 6647 -12.38
4152 6813 6.65
4152 7520 -5.07
4152 7780 -16.55
4152 10335 -37.11
4152 16453 14.34
4152 16617 6.96
4152 17504 -4.34
4152 19341 -16.10
4153 1400 3.03
4153 2138 10.92
4153 3025 -41.04
4153 4481 37.94
4153 4577 43.40
4153 5914 -44.55
4153 6415 -10.91
4153 6430 33.02
4153 10300 -26.59
4153 13957 4.80
4153 16353 16.50
4153 17357 -4.01
4154 749 21.46
4154 1837 -24.80
4154 3416 20.00
4154 5043 -13.26
4154 6178 -46.55
4154 7218 -47.48
4154 10262 3.70
4154 11070 24.23
4154 12167 -9.79
4154 13810 -2.79
4154 16229 47.12
4155 571 7.99
4155 713 -1.10
4155 1403 -34.66
4155 4445 16.79
4155 6077 -35.79
4155 6534 20.38
4155 9556 10.75
4155 9697 -44.99
4155 11112 48.43
4155 12335 44.84
4155 12994 38.42
4155 14081 42.16
4155 15503 -13.46
4155 15580 -10.53
4155 18628 9.94
4155 18960 22.33
4156 565 -21.19
4156 1956 28.95
4156 4300 -8.25
4156 5608 -29.97
4156 6411 44.14
4156 9441 -46.35
4156 12118 41.23
4156 15883 -25.34
4156 16931 40.01
4156 17785 5.18
4156 18608 41.11
4156 18990 8.09
4156 19048 -30.72
4156 19581 14.56
4157 1787 -14.33
4157 3226 8.37
4157 3586 11.51
4157 6815 -37.86
4157 11113 28.94
4157 11855 -45.50
4157 13312 16.25
4157 13882 39.27
4157 14765 36.31
4157 15919 -35.23
4158 305 11.58
4158 4580 -47.08
4158 7073 -44.18
4158 7285 9.49
4158 8907 -10.70
4158 9297 22.97
4158 11204 42.89
4158 15530 16.24
4158 15715 -25.56
4158 15952 -7.81
4159 834 -17.34
4159 6363 -48.50
4159 10329 -3.83
4159 13383 34.95
4159 15617 43.59
4159 18002 5.95
4160 393 -46.76
4160 507 34.30
4160 1955 -7.94
4160 2765 -46.71
4160 17342 -24.02
4161 5041 -24.53
4161 6002 23.94
4161 10058 25.73
4161 11677 37.49
4161 12747 -3.91
4161 18444 4.77
4162 6043 -48.31
4162 7455 25.43
4162 8763 -16.86
4162 12051 28.97
4162 12896 -24.65
4162 13731 -49.68
4162 14922 -1.60
4162 15684 -35.12
4162 16248 7.18
4162 16636 -40.38
4162 17581 33.29
4163 1546 -42.84
4163 7556 -26.82
4163 8353 7.75
4163 8513 -19.48
4163 16989 16.93
4163 17347 25.38
4164 331 -1.67
4164 1139 2.32
4164 2588 4.68
4164 3057 5.87
4164 4822 44.20
4164 6277 -48.46
4164 7221 23.10
4164 9104 -26.52
4164 11271 30.98
4164 18398 -27.97
4165 859 -34.23
4165 1717 -7.47
4165 4987 25.08
4165 7719 13.90
4165 7838 32.57
4165 7957 44.57
4165 8079 -19.49
4165 14753 -2.83
4166 3184 19.40
4166 9670 -16.05
4166 10216 18.78
4166 11972 2.72
4166 12702 -21.44
4166 14645 -12.20
4166 15124 48.72
4166 19521 -8.42
4167 1921 -25.67
4167 5335 25.35
4167 16065 -0.95
4167 17955 32.60
4167 18040 33.05
4167 18180 -8.67
4167 18506 -42.19
4168 945 -25.18
4168 1804 4.87
4168 9967 20.73
4168 11965 4.27
4168 15316 -11.96
4168 16327 -38.46
4168 17043 16.80
4169 1592 -24.76
4169 1714 -2.40
4169 7881 -29.73
4169 8880 -21.60
4169 11433 -24.17
4169 13184 -26.83
4169 15878 18.31
4169 16231 -23.42
4170 2250 -17.38
4170 4548 28.16
4170 9445 -14.62
4170 10286 -28.58
4170 11559 -21.39
4170 14592 42.78
4170 14958 -12.17
4170 15968 -44.44
4171 504 0.75
4171 1001 45.24
4171 3200 15.99
4171 9210 31.72
4171 12106 -12.85
4171 13150 1.38
4171 14031 5.59
4171 14370 22.70
4171 14999 -16.55
4172 1810 42.70
4172 1938 35.27
4172 2605 -10.28
4172 5056 -39.86
4172 6917 49.92
4172 8763 -43.74
4172 8826 -32.64
4172 9625 -17.41
4172 13613 -32.76
4172 14806 -5.64
4172 15749 2.37
4172 17028 -2.30
4172 17449 41.06
4173 1632 29.42
4173 5870 31.58
4173 6376 -25.02
4173 8218 26.43
4173 8870 -47.92
4173 10612 25.07
4173 11530 23.38
4173 12854 31.35
4173 13295 -15.82
4173 17444 25.31
4174 4820 17.16
4174 5612 -48.45
4174 8126 -22.34
4174 9771 33.28
4174 9955 33.77
4174 10499 -29.27
4174 13185 -16.45
4174 15794 39.32
4175 1261 -23.82
4175 1378 -23.95
4175 2818 12.67
4175 3141 -6.97
4175 4994 28.98
4175 7360 -15.70
4175 7630 -25.75
4175 7805 47.04
4175 8462 23.74
4175 9033 -7.31
4175 10299 -28.14
4175 11857 33.52
4175 12372 -49.17
4175 16121 46.23
4175 16336 44.78
4175 16480 20.89
4176 3223 -24.06
4176 3350 28.81
4176 6578 38.48
4176 15773 -1.31
4177 3426 5.21
4177 7164 -10.84
4177 7710 48.00
4177 8290 33.23
4177 10683 27.74
4177 16876 7.05
4177 18184 31.04
4177 18633 -31.05
4178 124 -19.33
4178 548 -0.38
4178 3089 -1.12
4178 4148 48.73
4178 6966 -18.78
4178 10787 9.11
4178 15585 33.26
4178 15797 -30.05
4178 19129 -43.07
4179 3245 23.81
4179 5120 -29.85
4179 6043 2.89
4179 9764 -46.87
4179 10062 -18.27
4179 10316 -27.81
4179 12318 19.40
4179 19123 46.61
4180 728 -6.23
4180 1036 3.61
4180 2669 30.00
4180 3750 32.93
4180 3844 10.66
4180 6802 49.25
4180 10729 30.34
4180 11367 36.91
4180 14452 -14.94
4180 15452 21.41
4181 9083 -2.49
4181 9540 36.72
4181 11894 -17.20
4181 12513 -24.81
4181 12528 5.66
4181 17126 -15.60
4181 17801 3.12
4181 18719 -1.14
4181 19390 -48.18
4182 12023 13.67
4182 15437 29.23
4182 15642 -44.02
4182 15829 -33.23
4182 16808 15.97
4182 17362 -16.12
4183 670 -5.58
4183 3988 16.85
4183 5195 3.17
4183 6677 2.09
4183 8592 -11.89
4183 10818 -2.55
4183 11627 -40.86
4183 13105 -14.16
4183 15580 34.84
4183 16146 8.81
4183 18314 3.93
4184 1271 22.61
4184 2148 37.71
4184 6147 -18.97
4184 6450 25.66
4184 6758 -19.48
4184 7433 8.97
4184 8587 36.90
4184 10111 -8.57
4184 10529 -36.52
4184 11527 12.91
4184 11531 -20.84
4184 19261 20.54
4185 1315 -13.06
4185 1743 24.04
4185 4900 5.89
4185 5137 -19.63
4185 6553 -2.36
4185 7330 2.45
4185 8745 48.10
4185 10957 -5.01
4185 11043 23.23
4185 15419 -44.07
4185 15477 12.81
4185 18751 32.10
4186 1601 -18.53
4186 7797 24.64
4186 9368 -28.26
4186 10100 -31.99
4186 10656 47.55
4186 11279 21.81
4186 16334 -21.44
4186 18072 -3.02
4186 18116 -0.75
4187 1898 -22.59
4187 10755 -21.86
4188 14 -10.19
4188 2273 -42.91
4188 2710 -19.16
4188 3203 5.83
4188 4844 -8.42
4188 7326 7.08
4188 7671 -33.04
4188 8946 -32.88
4188 9163 0.85
4188 12309 5.05
4189 2539 -24.51
4189 2915 8.26
4189 3882 -45.21
4189 7885 7.71
4189 10259 -1.11
4189 13940 49.15
4189 14206 49.36
4189 14415 44.13
4189 16848 -32.34
4190 520 45.03
4190 1706 -5.61
4190 7598 49.89
4190 10219 26.08
4190 10412 30.03
4190 13589 -7.97
4190 13934 -2.08
4190 14924 -26.24
4190 17914 -15.69
4191 1084 -0.61
4191 3291 -29.90
4191 3937 41.40
4191 3971 27.07
4191 4751 -13.69
4191 6305 -10.37
4191 6883 -18.81
4191 7337 45.62
4191 8653 -1.73
4191 9419 24.69
4191 12796 -25.95
4191 18897 27.52
4192 2337 32.54
4192 6206 22.80
4192 8887 37.91
4192 12836 7.95
4192 12948 -20.69
4193 1869 20.21
4193 11353 33.50
4193 11690 -6.11
4193 12215 40.35
4193 17695 1.31
4193 18416 -11.46
4194 1189 0.49
4194 5003 -35.21
4194 5236 -43.36
4194 7466 35.59
4194 9076 17.63
4194 11569 -25.13
4194 12125 -16.61
4194 15309 -45.57
4194 15917 13.26
4194 17597 19.72
4195 243 -2.14
4195 342 42.31
4195 686 -15.52
4195 1893 27.97
4195 2173 -30.69
4195 4697 23.51
4195 8607 -24.66
4195 13615 24.12
4195 13872 -21.49
4195 15151 49.03
4195 15262 6.44
4195 15789 -8.50
4195 17448 17.32
4195 18241 47.51
4196 4167 -38.87
4196 5435 27.85
4196 5439 -13.17
4196 5934 -18.00
4196 7368 -21.40
4196 9179 2.34
4196 10722 19.99
4196 12686 33.80
4196 13391 31.32
4197 4037 -24.80
4197 8230 -34.02
4197 9502 15.63
4197 10134 -26.09
4197 11187 -35.12
4197 11437 -46.51
4197 13103 -35.86
4197 15452 -29.60
4197 15841 -26.18
4197 15903 -45.40
4198 4631 35.54
4198 12538 8.67
4198 18848 26.95
4199 679 31.82
4199 3159 -39.91
4199 14515 41.33
4199 15205 -35.23
4199 15888 -49.44
4199 19245 40.83
4199 19561 21.05
4200 1799 14.40
4200 2124 -0.67
4200 3574 49.52
4200 4682 15.12
4200 5130 46.88
4200 7715 41.09
4200 7831 -0.34
4200 16561 -10.86
4200 17101 -24.50
4200 17692 -37.08
4200 17785 -44.46
4200 18110 28.82
4201 428 -15.99
4201 4819 -45.00
4201 5512 22.75
4201 6948 33.46
4201 7514 -8.44
4201 9152 -32.19
4201 11462 -48.93
4201 12751 -17.18
4201 14069 -9.04
4201 14839 -26.88
4202 1478 24.32
4202 8024 38.15
4202 8144 -16.32
4202 9011 -39.37
4202 11614 -0.87
4202 12296 31.27
4202 12350 -5.00
4202 15813 16.53
4202 16527 -37.74
4203 102 42.15
4203 759 -3.33
4203 4027 -7.62
4203 9201 14.14
4203 9819 -48.72
4203 11554 -4.01
4203 13828 -5.92
4203 14520 33.89
4203 14641 9.98
4203 15597 21.53
4203 16856 40.61
4203 18253 -34.91
4204 5478 -14.59
4204 6419 16.13
4204 8385 -27.93
4204 9807 48.34
4204 10080 46.44
4204 13134 -20.05
4204 14443 -40.53
4204 16291 -44.32
4204 16363 -3.52
4204 16990 48.38
4204 18264 27.87
4205 959 -46.54
4205 1680 45.05
4205 2108 -33.44
4205 3538 -29.40
4205 6334 -12.40
4205 9980 17.57
4205 10455 30.48
4205 10475 45.82
4205 10901 49.00
4205 11181 7.53
4205 15779 -30.78
4205 15800 -12.13
4205 15917 -0.97
4205 16404 34.37
4206 2979 -37.88
4206 4004 25.30
4206 4358 -20.52
4206 6830 25.10
4206 8047 -27.24
4206 14859 37.05
4206 16451 41.25
4206 17643 17.89
4207 1939 4.14
4207 5585 1.66
4207 11309 47.45
4207 16848 -35.86
4207 18163 8.04
4208 4000 21.14
4208 4686 31.63
4208 6327 1.34
4208 6622 -0.79
4208 6659 14.92
4208 8385 32.37
4208 9760 -32.78
4208 12154 45.66
4208 14848 1.35
4208 15941 36.82
4208 16275 -23.75
4208 16941 48.00
4208 17964 -36.72
4208 19328 -20.47
4208 19528 40.88
4209 1710 -20.23
4209 2875 -34.17
4209 5337 21.66
4209 10330 49.73
4209 12492 18.32
4209 13110 18.15
4209 14904 -0.54
4209 19279 -26.93
4209 19318 -10.15
4210 2045 7.52
4210 7161 46.37
4210 8030 0.99
4210 8360 -42.57
4210 10094 16.70
4210 10331 11.00
4210 13432 12.68
4210 16414 12.85
4210 16610 -6.87
4210 19093 18.62
4211 547 41.52
4211 624 -7.07
4211 1217 -28.70
4211 2850 -16.55
4211 6355 29.26
4211 8451 -32.29
4211 12489 23.79
4211 17603 -1.32
4211 17914 35.42
4212 457 -49.75
4212 6529 -4.86
4212 6669 -9.57
4212 7043 36.70
4212 11246 -17.42
4212 16115 -36.46
4212 16577 -48.60
4212 18581 -8.00
4213 3703 -13.28
4213 10812 3.85
4213 12819 34.66
4213 13419 48.31
4213 13966 36.50
4213 16025 -7.66
4213 16395 5.97
4213 16530 25.33
4213 18377 -12.52
4213 18523 7.36
4214 2071 -9.13
4214 6195 -3.87
4214 12858 -27.06
4214 17069 40.22
4215 438 -9.18
4215 3375 18.48
4215 5909 -36.72
4215 15551 -18.02
4215 17688 -39.58
4215 18385 12.57
4215 18517 38.01
4215 19569 7.56
4216 1097 8.73
4216 1979 20.37
4216 2291 -25.73
4216 4365 33.00
4216 5444 -3.55
4216 8752 31.39
4216 10612 8.08
4216 11354 41.00
4216 14180 -40.22
4217 1917 38.63
4217 2452 -46.92
4217 8246 -25.64
4217 9127 -28.23
4217 9139 3.14
4217 10058 35.19
4217 10240 -12.24
4217 10413 34.05
4217 11223 -26.28
4217 12145 10.37
4217 14160 15.16
4217 15281 -12.29
4217 18533 -7.11
4217 19071 44.60
4217 19173 -32.04
4218 4273 -10.49
4218 4821 -24.56
4218 7311 -43.76
4218 8875 11.04
4218 9734 20.02
4218 11283 19.48
4218 15529 -41.29
4218 16660 27.26
4219 166 11.98
4219 857 -22.91
4219 1049 -14.73
4219 2031 -1.94
4219 6208 2.56
4219 7048 -48.78
4219 9401 31.75
4219 10626 -7.96
4219 11573 -35.92
4219 14738 -36.23
4220 1710 -43.20
4220 3995 20.20
4220 6495 -5.14
4220 8410 -14.70
4220 9909 -7.22
4220 9948 -18.88
4220 10545 37.03
4220 11229 34.91
4220 13914 0.39
4220 14954 11.64
4220 16437 46.54
4220 17222 -3.60
4221 319 -23.17
4221 562 10.42
4221 1670 -5.46
4221 2865 -28.49
4221 3975 38.33
4221 4542 18.07
4221 7406 15.82
4221 8578 -20.87
4221 9118 12.49
4221 15934 25.58
4221 17019 -18.00
4222 9348 -8.87
4222 11346 8.14
4222 12913 43.25
4222 13356 30.28
4222 13600 -28.06
4222 14229 -36.98
4222 16206 -14.31
4222 19109 27.95
4223 2509 9.05
4223 4846 -5.90
4223 5171 -2.05
4223 13137 -36.31
4223 13600 22.74
4223 13666 -4.28
4223 14399 1.59
4223 16045 -35.38
4224 2743 -35.08
4224 4565 -7.06
4224 13334 -28.09
4224 16269 -6.84
4224 17996 -24.69
4224 18464 -5.46
4225 348 -2.06
4225 1074 -23.99
4225 1252 22.62
4225 1998 -7.85
4225 5284 26.00
4225 5402 11.08
4225 6882 35.36
4225 11120 -1.25
4225 12591 7.95
4225 12756 -32.86
4225 13603 -35.69
4225 17891 28.68
4225 18073 11.92
4225 18324 30.39
4226 3741 14.60
4226 4601 -24.83
4226 12228 43.01
4226 12684 -13.51
4226 16378 41.32
4226 16954 18.67
4226 17442 -36.62
4226 17647 -45.24
4226 18739 -29.61
4227 43 -0.63
4227 6301 -2.06
4227 6312 38.87
4227 6496 -31.98
4227 7259 -28.33
4227 8980 -43.93
4227 10125 25.66
4227 10189 43.20
4227 10949 23.79
4227 10990 -3.73
4227 14845 -37.13
4227 15519 -21.26
4227 17453 -5.70
4227 18298 -45.22
4227 18307 0.08
4228 465 6.99
4228 6787 -23.71
4228 8900 -35.60
4228 8919 38.91
4228 10100 25.16
4228 14356 38.22
4228 19379 -16.73
4229 976 27.82
4229 3178 -8.29
4229 4330 13.13
4229 6047 -32.86
4229 7667 -33.67
4229 9807 0.67
4229 10092 42.45
4229 11715 -45.70
4229 11847 -48.99
4229 13082 -34.33
4229 14446 -22.92
4229 15663 1.01
4229 16035 0.98
4229 17159 -41.09
4230 2101 6.96
4230 2480 -9.37
4230 6219 -41.73
4230 10929 -24.28
4230 11759 -18.24
4230 11781 16.08
4230 17892 -15.21
4230 18659 16.97
4231 2357 32.27
4231 3144 49.76
4231 4066 -23.17
4231 7843 -48.89
4231 8650 10.77
4231 8741 -25.52
4231 19272 -1.04
4232 2677 -16.88
4232 2943 -13.56
4232 3790 -1.07
4232 6904 -46.98
4232 12326 49.45
4232 14015 -42.08
4232 15350 25.44
4232 19028 8.87
4233 666 44.31
4233 10029 -19.75
4233 11013 6.73
4233 12274 -5.18
4233 13126 16.88
4233 13483 47.64
4233 13687 -19.31
4233 14026 31.27
4233 15475 16.73
4233 18512 -44.76
4234 1427 46.68
4234 2312 -42.86
4234 2560 -18.20
4234 4180 24.98
4234 4256 -13.80
4234 5567 -11.52
4234 6200 15.79
4234 6303 36.81
4234 8961 48.67
4234 9669 -1.21
4234 10732 19.02
4234 12188 -33.93
4234 12741 -46.08
4234 17436 -1.83
4234 18137 40.09
4234 18450 -15.57
4235 2602 -16.81
4235 5302 14.34
4235 5525 -11.98
4235 5598 -2.88
4235 7044 39.33
4235 12767 -19.14
4235 14916 -28.75
4235 15461 35.90
4235 16800 -3.90
4235 17303 -17.86
4235 18261 -49.27
4235 19563 -44.20
4236 598 -48.78
4236 1022 31.25
4236 2660 -8.68
4236 4134 -28.39
4236 7169 -1.10
4236 7950 -22.46
4236 12327 28.67
4236 12427 -30.91
4236 15509 -28.17
4236 15691 -40.34
4236 16085 -5.37
4236 19250 -28.52
4237 4810 43.29
4237 8880 -22.66
4237 12660 31.35
4237 13842 3.72
4237 16284 18.36
4237 19251 8.36
4238 6 42.04
4238 5493 41.90
4238 5948 -42.80
4238 8054 7.11
4238 8317 -35.44
4238 8780 8.78
4238 11483 27.33
4238 11827 10.33
4238 14470 -49.94
4238 14585 46.46
4238 14621 -7.10
4238 15380 22.70
4238 16788 12.36
4239 3535 24.05
4239 4249 -8.89
4239 9776 45.62
4239 11143 37.91
4239 11661 -33.90
4239 12181 31.97
4239 14792 16.53
4239 15363 36.67
4239 15713 -41.35
4240 2495 42.90
4240 2857 39.11
4240 12423 4.46
4241 1270 -34.67
4241 1387 24.54
4241 2047 -27.67
4241 4352 -1.81
4241 5689 42.47
4241 8620 -29.97
4241 16966 21.24
4241 18436 -20.20
4241 18492 -39.31
4242 510 40.10
4242 747 -13.44
4242 2132 37.30
4242 4251 -25.72
4242 4955 12.51
4242 5109 -10.04
4242 9392 -6.90
4242 11369 15.53
4242 16204 5.90
4242 16363 -40.44
4242 19478 -5.41
4243 805 12.45
4243 2075 11.07
4243 7593 -49.31
4243 10019 -20.36
4243 10323 -17.53
4243 12067 -2.21
4243 16129 -4.19
4243 16393 -27.32
4244 242 47.06
4244 1517 42.81
4244 4278 -27.03
4244 4934 -26.19
4244 7814 -22.22
4244 9634 -41.64
4244 10525 2.73
4244 14229 -41.65
4244 18051 -3.95
4244 18070 16.56
4245 900 40.74
4245 1866 -41.45
4245 4947 5.12
4245 6291 -5.24
4245 9190 25.33
4245 10688 9.93
4245 16798 46.53
4245 17705 10.96
4245 17997 1.44
4245 18903 -17.42
4245 19558 -10.87
4246 1350 -47.05
4246 1609 9.22
4246 3169 8.75
4246 4002 29.57
4246 5974 16.42
4246 6720 -12.53
4246 8251 20.62
4246 9155 36.08
4246 16160 47.40
4247 24 -15.54
4247 2493 40.88
4247 3014 -23.41
4247 3139 10.03
4247 4162 45.50
4247 4509 -30.49
4247 4719 18.19
4247 6694 -3.93
4247 7248 -9.11
4247 8308 -16.02
4247 9045 -9.14
4247 11643 -27.55
4247 16460 -17.84
4248 979 -23.71
4248 11176 23.20
4248 13637 -48.25
4248 14200 -26.10
4248 15957 -45.82
4248 15960 42.95
4248 16244 -32.65
4248 17979 -44.30
4249 1518 18.37
4249 1844 24.60
4249 2588 -7.78
4249 2705 45.74
4249 3469 -18.79
4249 8310 24.62
4249 8480 -41.07
4249 11749 -43.25
4249 12353 -41.74
4249 14563 -47.40
4249 15728 41.52
4249 16259 -19.15
4249 17936 25.45
4249 18789 -28.95
4249 19023 -9.23
4250 2662 -7.62
4250 2696 18.90
4250 5664 13.26
4250 8274 -41.15
4250 10798 12.82
4250 13388 17.26
4250 17053 -23.30
